,id,date,author,location,likes,retweets,polarity,subjectivity,emoji_all,emoji_see,emoji_num,tweet
14,1327131419500535808,2020-11-13 06:09:21,bikoschild,,0,2,0.0,0.125,set(),set(),0,"b'RT @wachukaliz: @samantha_maina_ Within 3 months of joining as a volunteer, I was hired as, a permanent employee by the same company I was\\u2026'"
15,1327131418548441093,2020-11-13 06:09:21,crystalnapolit2,Florida,0,284,0.5,0.6,set(),set(),0,"b""RT @BornforMidwife: A Midwife's Story follows a #woman's #life overcoming #tragedy &amp; #adversity with #faith, #hope &amp; #love to become the #m\\u2026"""
16,1327131418384879619,2020-11-13 06:09:21,____Boss__,"Bengaluru, India",0,215,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
17,1327131417470504961,2020-11-13 06:09:21,He2ki,Tokyo,0,2,0.3333333333333333,0.6,set(),set(),0,b'RT @TheStourbridge: Welcome to Friday the 13th which as it clashes with fish for tea Friday absolutely means I should get 13 pieces of fish\\u2026'
18,1327131415700516865,2020-11-13 06:09:21,RNSkipper,"Nelson, BC, Canada.",0,0,0.0,0.0,set(),set(),0,b'@thereal_coach_k @GregorYoung @edgeofcoaching Amen to that sir. I used to be a fan of the NHL but the work stoppage\\u2026 https://t.co/YhsyVJ2KcV'
19,1327131415658508289,2020-11-13 06:09:21,Yaswanth_prabha,"cumbum, andhrapradesh",0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
20,1327131415205584898,2020-11-13 06:09:20,18Sammed,"Karnataka, India",0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
21,1327131412726763520,2020-11-13 06:09:20,FCGoaOfficial,"Goa, India",0,211,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
22,1327131412584075265,2020-11-13 06:09:20,paradox_thyme,,0,0,0.0,0.0,set(),set(),0,b'@Tigaseye @scullyitsme94 @ManaTalk_james @o_rips But that would still require them to control the media. It would r\\u2026 https://t.co/gjH8O1T9Kq'
23,1327131410222690306,2020-11-13 06:09:19,ArnieRodriguezz,,0,0,-0.3,0.4222222222222222,set(),set(),0,"b'It really wasn\\u2019t as bad as a game as people make it out to be, yes there was a lot of weapon balancing problems and\\u2026 https://t.co/9eQADxY2e8'"
24,1327131407118897153,2020-11-13 06:09:19,Riiiitik,India,0,21,-0.125,1.0,set(),set(),0,"b'RT @danidonovan: I might lose followers over this, but it needs to be said. I find it extremely disrespectful when people don\\u2019t stand for t\\u2026'"
25,1327131406053625856,2020-11-13 06:09:18,PIBChandigarh,"Chandigarh, India",0,11,0.0,0.0,set(),set(),0,b'RT @COVIDNewsByMIB: #IndiaFightsCorona: \\n\\nDo not step out of the house without wearing a mask/ face cover. \\n\\nIt can be risky for you and ot\\u2026'
26,1327131405445459968,2020-11-13 06:09:18,im_onlyaoei,ENGENE​ 𓈒 * { sungsunoo​ } !,0,194,0.07323232323232323,0.3181818181818182,set(),set(),0,"b'RT @heeseungcokr: BigHit labels plans to move into a new building in Yongsan (YTC) in the first half of 2021. \\n\\noffice for staffs, dance pr\\u2026'"
27,1327131401024655366,2020-11-13 06:09:17,1Hauck,Toronto,0,0,-0.24375000000000002,0.65,set(),set(),0,"b'Basement copywriting at it\'s finest...\\n\\n""For very little money you can pre-wire your basement to be the hottest nig\\u2026 https://t.co/KK5hZiqDVV'"
28,1327131399091052544,2020-11-13 06:09:17,SouvikK3,Durgapur,0,215,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
29,1327131398201806848,2020-11-13 06:09:16,GRamach04950458,,0,0,0.75,0.75,set(),set(),0,b'#SudhaKongara\\n#SuryaSivakumar \\nHats of Surya and Sudha for the wonderful movie.The movie will inspire more youngest\\u2026 https://t.co/BuXUhbGg0S'
30,1327131397182681089,2020-11-13 06:09:16,MaryEss7,,0,260,0.1,0.4,set(),set(),0,b'RT @mtracey: It\\u2019s completely vile to wish that \\u201cpain\\u201d be inflicted upon tens of millions of people you\\u2019ve never met and whose life circumst\\u2026'
31,1327131396499005440,2020-11-13 06:09:16,luvforkoo,she/her,0,3303,0.22424242424242424,0.6363636363636364,set(),set(),0,b'RT @vantefIwr: the prime minister of south korea saying bts is unstoppable and he hopes their new album reaches a new milestone. important\\u2026'
32,1327131395668520961,2020-11-13 06:09:16,bee2216,Canada,0,0,0.0,0.05,set(),set(),0,"b'I agree with the gatherings, but how does one enforce this? If you see lots of cars outside of home, that would be\\u2026 https://t.co/EeBs5QOujn'"
33,1327131395542626304,2020-11-13 06:09:16,ModiVolunteer,,0,16,0.0,0.0,set(),set(),0,"b'RT @ParasKGhelani: Feeling privileged to part of, Program of #ITRA (Institute of Teaching and Research in Ayurveda) to be declared as a nat\\u2026'"
34,1327131391033823235,2020-11-13 06:09:15,Moon_taeyn,"Imus, Calabarzon",0,281,0.0,0.0,"{'🐹', '😊', '7️⃣', '🎂'}","{':hamster:', ':blush:', ':seven:', ':birthday:'}",4,"b""RT @enajeiner: Hello PH Metro Manila Armys\\U0001f60a \\n\\nTo celebrate my bday\\U0001f382, @BTS_twt's comeback7\\ufe0f\\u20e3 and Jin's\\U0001f439 bday, I'm doing a giveaway. \\n\\nRT &amp; r\\u2026"""
35,1327131389574209540,2020-11-13 06:09:14,dlsuy,philippines,0,0,-0.5,1.0,set(),set(),0,b'@gangbadoy Unfortunately they cannot connect those dots. We have to mobilize in 2021 and educate the people of a go\\u2026 https://t.co/iecdwzRjSD'
36,1327131389268021248,2020-11-13 06:09:14,SisterKaff,Européenne,0,7,0.175,0.475,set(),set(),0,b'RT @Nigel333: @ChuChu_XAUUSD @vivamjm @badgerlyminge @Howard_Goodall 1/ A short diversionary tale to show how true that is: In 1969 I was o\\u2026'
37,1327131389079248897,2020-11-13 06:09:14,feminineenergy_,Republic of the Philippines,0,0,0.0,0.0,set(),set(),0,"b'In times of doubt, I ask myself if this is the legacy I wanna leave in the world. Do I want to be that woman who sp\\u2026 https://t.co/AK4DiCSCS3'"
38,1327131388332675073,2020-11-13 06:09:14,Chiru_Mahesh_,Vijayawada ,0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
39,1327131384473939969,2020-11-13 06:09:13,buddy_hoosier,"Texas, USA",0,0,0.1,0.2,set(),set(),0,b'@mcuban Very shortsighted statement. We are putting Americans in need above politics by making a valiant attempt to\\u2026 https://t.co/mk5me7o56r'
40,1327131383685402627,2020-11-13 06:09:13,lostthenumbers,"Burbank, CA",0,0,0.0,0.0,set(),set(),0,b'Fennel is a garbage member of the carrot family and deserves to be shunned.'
41,1327131380770361344,2020-11-13 06:09:12,CanadianJoannie,Canada,0,120,-0.17499999999999996,0.41666666666666663,set(),set(),0,"b'RT @sylvainlother: Next 4 weeks, I will only work in the ICU and #StayHome. Next time you see me in person, it will be a bad day for you. M\\u2026'"
42,1327131379407196160,2020-11-13 06:09:12,ASHUTOS94647012,,0,35,0.2,0.65,set(),set(),0,"b'RT @mahiway_7: It has been 152 days.\\nAlready Killers have got a lot of chance to roam freely &amp; ruin the case.\\nBefore further delay, custodi\\u2026'"
43,1327131377712640004,2020-11-13 06:09:12,Muhamme21330085,,0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
44,1327131376890556416,2020-11-13 06:09:11,HitokiriTenchuu,,0,0,0.05,0.7,set(),set(),0,b'@AdmiralAegis Nearly every person I meet that smokes weed makes it out to be the only thing about their lives. Exce\\u2026 https://t.co/7MUhHIisrM'
45,1327131376764809217,2020-11-13 06:09:11,KOHLICULTONE8,kattegat🛡🗡,0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
46,1327131376341102604,2020-11-13 06:09:11,sforsudhakar,this is sparta,0,1117,0.33333333333333337,0.5958333333333333,set(),set(),0,"b'RT @CaptGopinath: The portrayal of my wife Bhargavi by Aparna was very well etched out , of a woman who had her own mind , strong but soft\\u2026'"
47,1327131375342936064,2020-11-13 06:09:11,AmalJayakumar5,,0,216,0.6,0.6,set(),set(),0,"b""RT @imVkohli: I want to extend a warm welcoming hand to @FCGoaOfficial, who today have joined hands with @RBLeipzig_EN as the club's strate\\u2026"""
48,1327131372222361601,2020-11-13 06:09:10,HotkissJuicy,Ohio,0,0,0.0,0.0,set(),set(),0,b'@ReportsDaNews The DOJ looked at the question in the Nixon era and concluded it wasn\\u2019t within the president\\u2019s power\\u2026 https://t.co/2oYziYLjRD'
49,1327131371559587842,2020-11-13 06:09:10,RTrumpty,,0,0,-0.275,0.525,set(),set(),0,"b'@LV_doeshair She is exactly who would play the part of her, in a comedy movie about an idiot president who refuses\\u2026 https://t.co/3dAxi6bFAl'"
50,1327131371433766917,2020-11-13 06:09:10,ChelseaBigBang,Themyscira,0,0,0.4,0.525,set(),set(),0,"b""@dancingofpens There was a great article that talked about the show's thesis essentially being the work of a collec\\u2026 https://t.co/6JXYxKQhp3"""
51,1327131370284593153,2020-11-13 06:09:10,LaurenLee721,,0,6595,0.045833333333333316,0.5625,set(),set(),0,b'RT @KamalaHarris: Too many people are grieving the devastating loss of a loved one due to COVID\\u2014many of whom were forced to die alone. It s\\u2026'
